identifier_Id,identifier_fips,identifier_apn,identifier_attomId,address_country,address_countrySubd,address_line1,address_line2,address_locality,address_matchCode,address_oneLine,address_postal1,address_postal2,address_postal3,location_accuracy,location_latitude,location_longitude,location_distance,location_geoid,location_geoIdV4_CO,location_geoIdV4_CS,location_geoIdV4_DB,location_geoIdV4_N4,location_geoIdV4_PL,location_geoIdV4_SB,location_geoIdV4_ZI,vintage_lastModified,vintage_pubDate
3584775,56021,17297001300000,3584775,US,WY,3388 PRAIRIE SCHOONER RD,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"3388 PRAIRIE SCHOONER RD, CHEYENNE, WY 82009",82009,9489,R002,Rooftop,41.165893,-104.638228,0.0,"CO56021, CS5690770, DB5601980, RS0000102372, SB0000130741, SB0000130743, SB0000130744, ZI82009",16856031afb1b236f0d628bb802eac71,e5a490a174895893b11ce251b6cea7bd,30c86a3f2f5c848363c435461b716572,663e39ce3a82deee87625cb2da483881,,"cad25fb72421864732153306a6878a40, 5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3584776,56021,13398000400100,3584776,US,WY,1163 KAYCEE PL,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"1163 KAYCEE PL, CHEYENNE, WY 82009",82009,9404,R002,Rooftop,41.168294,-104.611760,0.0,"CO56021, CS5690770, DB5601980, RS0000102290, SB0000130741, SB0000130743, SB0000130744, ZI82009",16856031afb1b236f0d628bb802eac71,e5a490a174895893b11ce251b6cea7bd,30c86a3f2f5c848363c435461b716572,b89e6846365f4b217be7282c9594e32e,,"cad25fb72421864732153306a6878a40, 5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3584778,56021,13398000600080,3584778,US,WY,3571 BURNS AVE,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"3571 BURNS AVE, CHEYENNE, WY 82009",82009,9441,R002,Rooftop,41.169887,-104.603801,0.0,"CO56021, CS5690770, DB5601980, RS0000102290, SB0000130741, SB0000130743, SB0000130744, ZI82009",16856031afb1b236f0d628bb802eac71,e5a490a174895893b11ce251b6cea7bd,30c86a3f2f5c848363c435461b716572,b89e6846365f4b217be7282c9594e32e,,"cad25fb72421864732153306a6878a40, 5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3584779,56021,13397000100120,3584779,US,WY,3508 I80 SERVICE RD,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"3508 I80 SERVICE RD, CHEYENNE, WY 82009",82009,8783,R002,Rooftop,41.159951,-104.616351,0.0,"CO56021, CS5690770, DB5601980, RS0000102290, SB0000130741, SB0000130743, SB0000130744, ZI82009",16856031afb1b236f0d628bb802eac71,e5a490a174895893b11ce251b6cea7bd,30c86a3f2f5c848363c435461b716572,b89e6846365f4b217be7282c9594e32e,,"cad25fb72421864732153306a6878a40, 2adc253f6a9750a26911d38c6cd21b9b, 5b88c062457fc7330a81dec74b026e41",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3584780,56021,13397000100100,3584780,US,WY,1127 ROAD 135,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"1127 ROAD 135, CHEYENNE, WY 82009",82009,9427,R002,Rooftop,41.163388,-104.616837,0.0,"CO56021, CS5690770, DB5601980, RS0000102290, SB0000130741, SB0000130743, SB0000130744, ZI82009",16856031afb1b236f0d628bb802eac71,e5a490a174895893b11ce251b6cea7bd,30c86a3f2f5c848363c435461b716572,b89e6846365f4b217be7282c9594e32e,,"2adc253f6a9750a26911d38c6cd21b9b, 5b88c062457fc7330a81dec74b026e41, cad25fb72421864732153306a6878a40",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3584781,56021,13397000100080,3584781,US,WY,3513 CODY LN,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"3513 CODY LN, CHEYENNE, WY 82009",82009,9435,R002,Rooftop,41.163381,-104.614685,0.0,"CO56021, CS5690770, DB5601980, RS0000102290, SB0000130741, SB0000130743, SB0000130744, ZI82009",16856031afb1b236f0d628bb802eac71,e5a490a174895893b11ce251b6cea7bd,30c86a3f2f5c848363c435461b716572,b89e6846365f4b217be7282c9594e32e,,"5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b, cad25fb72421864732153306a6878a40",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3584782,56021,13397000100070,3584782,US,WY,3519 CODY LN,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"3519 CODY LN, CHEYENNE, WY 82009",82009,9435,R002,Rooftop,41.163375,-104.613594,0.0,"CO56021, CS5690770, DB5601980, RS0000102290, SB0000130741, SB0000130743, SB0000130744, ZI82009",16856031afb1b236f0d628bb802eac71,e5a490a174895893b11ce251b6cea7bd,30c86a3f2f5c848363c435461b716572,b89e6846365f4b217be7282c9594e32e,,"5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b, cad25fb72421864732153306a6878a40",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3584783,56021,13398000500250,3584783,US,WY,3516 CODY LN,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"3516 CODY LN, CHEYENNE, WY 82009",82009,9436,R002,Rooftop,41.164961,-104.614233,0.0,"CO56021, CS5690770, DB5601980, RS0000102290, SB0000130741, SB0000130743, SB0000130744, ZI82009",16856031afb1b236f0d628bb802eac71,e5a490a174895893b11ce251b6cea7bd,30c86a3f2f5c848363c435461b716572,b89e6846365f4b217be7282c9594e32e,,"5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b, cad25fb72421864732153306a6878a40",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3584784,56021,13397000100060,3584784,US,WY,1134 ALBIN LN,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"1134 ALBIN LN, CHEYENNE, WY 82009",82009,9444,R002,Rooftop,41.163836,-104.611843,0.0,"CO56021, CS5690770, DB5601980, RS0000102290, SB0000130741, SB0000130743, SB0000130744, ZI82009",16856031afb1b236f0d628bb802eac71,e5a490a174895893b11ce251b6cea7bd,30c86a3f2f5c848363c435461b716572,b89e6846365f4b217be7282c9594e32e,,"5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b, cad25fb72421864732153306a6878a40",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
3584785,56021,13397000100050,3584785,US,WY,1126 ALBIN LN,"CHEYENNE, WY 82009",CHEYENNE,ExaStr,"1126 ALBIN LN, CHEYENNE, WY 82009",82009,9444,R002,Rooftop,41.163021,-104.611850,0.0,"CO56021, CS5690770, DB5601980, RS0000102290, SB0000130741, SB0000130743, SB0000130744, ZI82009",16856031afb1b236f0d628bb802eac71,e5a490a174895893b11ce251b6cea7bd,30c86a3f2f5c848363c435461b716572,b89e6846365f4b217be7282c9594e32e,,"5b88c062457fc7330a81dec74b026e41, 2adc253f6a9750a26911d38c6cd21b9b, cad25fb72421864732153306a6878a40",ac6c213665a7701bd3617ada1ff96513,2025-07-22,2025-07-22
